"mediaID"	"materialEntityID"	"mediaSubjectCategory"
"P10.2BS_01L15S_04S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_05S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_06S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_07S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_08S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_09S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_10S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_11S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_12S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_13S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_14S"	"P10.2BS"	"part of insect bulk sample"
"P10.2BS_01L15S_15S"	"P10.2BS"	"part of insect bulk sample"
"P100.1AL_01L07S_01L"	"P100.1AL"	"part of insect bulk sample"
"P100.1AS_01L07S_01S"	"P100.1AS"	"part of insect bulk sample"
"P100.1AS_01L07S_02S"	"P100.1AS"	"part of insect bulk sample"
"P100.1AS_01L07S_03S"	"P100.1AS"	"part of insect bulk sample"
"P100.1AS_01L07S_04S"	"P100.1AS"	"part of insect bulk sample"
"P100.1AS_01L07S_05S"	"P100.1AS"	"part of insect bulk sample"
"P100.1AS_01L07S_06S"	"P100.1AS"	"part of insect bulk sample"
"P100.1AS_01L07S_07S"	"P100.1AS"	"part of insect bulk sample"
"P100.1BS_00L32S_01S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_02S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_03S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_04S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_05S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_06S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_07S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_08S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_09S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_10S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_11S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_12S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_13S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_14S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_15S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_16S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_17S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_18S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_19S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_20S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_21S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_22S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_23S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_24S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_25S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_26S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_27S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_28S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_29S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_30S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_31S"	"P100.1BS"	"part of insect bulk sample"
"P100.1BS_00L32S_32S"	"P100.1BS"	"part of insect bulk sample"
"P102.2AL_01L15S_01L"	"P102.2AL"	"part of insect bulk sample"
"P102.2AS_01L15S_01S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_02S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_03S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_04S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_05S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_06S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_07S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_08S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_09S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_10S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_11S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_12S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_13S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_14S"	"P102.2AS"	"part of insect bulk sample"
"P102.2AS_01L15S_15S"	"P102.2AS"	"part of insect bulk sample"
"P102.2BS_00L72S_01S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_02S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_03S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_04S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_05S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_06S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_07S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_08S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_09S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_10S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_11S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_12S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_13S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_14S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_15S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_16S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_17S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_18S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_19S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_20S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_21S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_22S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_23S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_24S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_25S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_26S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_27S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_28S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_29S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_30S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_31S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_32S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_33S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_34S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_35S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_36S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_37S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_38S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_39S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_40S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_41S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_42S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_43S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_44S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_45S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_46S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_47S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_48S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_49S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_50S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_51S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_52S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_53S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_54S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_55S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_56S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_57S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_58S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_59S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_60S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_61S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_62S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_63S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_64S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_65S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_66S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_67S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_68S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_69S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_70S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_71S"	"P102.2BS"	"part of insect bulk sample"
"P102.2BS_00L72S_72S"	"P102.2BS"	"part of insect bulk sample"
"P103.2AL_01L12S_01L"	"P103.2AL"	"part of insect bulk sample"
"P103.2AS_01L12S_01S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_02S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_03S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_04S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_05S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_06S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_07S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_08S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_09S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_10S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_11S"	"P103.2AS"	"part of insect bulk sample"
"P103.2AS_01L12S_12S"	"P103.2AS"	"part of insect bulk sample"
"P103.2BL_01L19S_01L"	"P103.2BL"	"part of insect bulk sample"
"P103.2BS_01L19S_01S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_02S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_03S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_04S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_05S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_06S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_07S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_08S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_09S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_10S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_11S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_12S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_13S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_14S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_15S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_16S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_17S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_18S"	"P103.2BS"	"part of insect bulk sample"
"P103.2BS_01L19S_19S"	"P103.2BS"	"part of insect bulk sample"
"P105.2AL_01L11S_01L"	"P105.2AL"	"part of insect bulk sample"
"P105.2AS_01L11S_01S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_02S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_03S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_04S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_05S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_06S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_07S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_08S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_09S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_10S"	"P105.2AS"	"part of insect bulk sample"
"P105.2AS_01L11S_11S"	"P105.2AS"	"part of insect bulk sample"
"P105.2BL_01L43S_01L"	"P105.2BL"	"part of insect bulk sample"
"P105.2BS_01L43S_01S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_02S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_03S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_04S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_05S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_06S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_07S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_08S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_09S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_10S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_11S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_12S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_13S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_14S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_15S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_16S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_17S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_18S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_19S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_20S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_21S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_22S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_23S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_24S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_25S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_26S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_27S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_28S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_29S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_30S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_31S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_32S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_33S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_34S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_35S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_36S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_37S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_38S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_39S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_40S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_41S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_42S"	"P105.2BS"	"part of insect bulk sample"
"P105.2BS_01L43S_43S"	"P105.2BS"	"part of insect bulk sample"
"P108.2AS_00L03S_01S"	"P108.2AS"	"part of insect bulk sample"
"P108.2AS_00L03S_02S"	"P108.2AS"	"part of insect bulk sample"
"P108.2AS_00L03S_03S"	"P108.2AS"	"part of insect bulk sample"
"P108.2BS_00L08S_01S"	"P108.2BS"	"part of insect bulk sample"
"P108.2BS_00L08S_02S"	"P108.2BS"	"part of insect bulk sample"
"P108.2BS_00L08S_03S"	"P108.2BS"	"part of insect bulk sample"
"P108.2BS_00L08S_04S"	"P108.2BS"	"part of insect bulk sample"
"P108.2BS_00L08S_05S"	"P108.2BS"	"part of insect bulk sample"
"P108.2BS_00L08S_06S"	"P108.2BS"	"part of insect bulk sample"
"P108.2BS_00L08S_07S"	"P108.2BS"	"part of insect bulk sample"
"P108.2BS_00L08S_08S"	"P108.2BS"	"part of insect bulk sample"
"P114.2AL_01L15S_01L"	"P114.2AL"	"part of insect bulk sample"
"P114.2AS_01L15S_01S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_02S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_03S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_04S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_05S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_06S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_07S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_08S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_09S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_10S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_11S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_12S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_13S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_14S"	"P114.2AS"	"part of insect bulk sample"
"P114.2AS_01L15S_15S"	"P114.2AS"	"part of insect bulk sample"
"P114.2BL_01L19S_01L"	"P114.2BL"	"part of insect bulk sample"
"P114.2BS_01L19S_01S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_02S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_03S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_04S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_05S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_06S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_07S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_08S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_09S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_10S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_11S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_12S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_13S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_14S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_15S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_16S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_17S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_18S"	"P114.2BS"	"part of insect bulk sample"
"P114.2BS_01L19S_19S"	"P114.2BS"	"part of insect bulk sample"
"P115.2AL_01L09S_01L"	"P115.2AL"	"part of insect bulk sample"
"P115.2AS_01L09S_01S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_02S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_03S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_04S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_05S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_06S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_07S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_08S"	"P115.2AS"	"part of insect bulk sample"
"P115.2AS_01L09S_09S"	"P115.2AS"	"part of insect bulk sample"
"P115.2BL_01L15S_01L"	"P115.2BL"	"part of insect bulk sample"
"P115.2BS_01L15S_01S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_02S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_03S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_04S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_05S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_06S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_07S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_08S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_09S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_10S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_11S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_12S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_13S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_14S"	"P115.2BS"	"part of insect bulk sample"
"P115.2BS_01L15S_15S"	"P115.2BS"	"part of insect bulk sample"
"P116.2AL_01L02S_01L"	"P116.2AL"	"part of insect bulk sample"
"P116.2AS_01L02S_01S"	"P116.2AS"	"part of insect bulk sample"
"P116.2AS_01L02S_02S"	"P116.2AS"	"part of insect bulk sample"
"P116.2BL_01L15S_01L"	"P116.2BL"	"part of insect bulk sample"
"P116.2BS_01L15S_01S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_02S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_03S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_04S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_05S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_06S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_07S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_08S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_09S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_10S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_11S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_12S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_13S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_14S"	"P116.2BS"	"part of insect bulk sample"
"P116.2BS_01L15S_15S"	"P116.2BS"	"part of insect bulk sample"
"P117.2AL_01L03S_01L"	"P117.2AL"	"part of insect bulk sample"
"P117.2AS_01L03S_01S"	"P117.2AS"	"part of insect bulk sample"
"P117.2AS_01L03S_02S"	"P117.2AS"	"part of insect bulk sample"
"P117.2AS_01L03S_03S"	"P117.2AS"	"part of insect bulk sample"
"P117.2BS_00L12S_01S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_02S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_03S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_04S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_05S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_06S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_07S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_08S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_09S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_10S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_11S"	"P117.2BS"	"part of insect bulk sample"
"P117.2BS_00L12S_12S"	"P117.2BS"	"part of insect bulk sample"
"P12.2AL_01L07S_01L"	"P12.2AL"	"part of insect bulk sample"
