"measurementID","occurrenceID","measurementType","measurementValue","measurementUnit","eventID"
"05d038315b34e6c717c2badcf4d1c23d","925655ea-4467-4ac8-8d35-506de790b540","Number of the specimen","12",NA,NA
"05d1e83403753406b8d776d03df26e88","e94da231-497f-4829-a900-e939319e8521","Number of the specimen","4",NA,NA
"05f42ad062a02329aa5376fbf9810616","9066e8dd-106d-4156-aceb-f81472dadad1","Length of the specimen","214","millimeter",NA
"060bfce01460fbafa9bca84b3f6023eb","067b44c6-bae0-4b8f-b116-38615a2839e7","Live weight as measured in the field","4","gram",NA
"0615375c5a53db1442acf360a098f03d","c39da64e-a6ac-432b-84ac-bc3577c395bc","Number of the specimen","11",NA,NA
"0615bc1893941c839f0ab56f257f2642","de878544-cc85-4a9d-99e7-803f87d55af2","Length of the specimen","88","millimeter",NA
"0623a49e661a14eb679fedf82487f3e9","441f7c16-4439-4d44-a61a-349acf0a0e1a","Length of the specimen","107","millimeter",NA
"0624bb66d54f5fcce2896f59e2fcefdd","833959bd-35c7-43b4-92e0-f05b45dff769","Live weight as measured in the field","16","gram",NA
"0662bf2bba1648c6c0ccf8fe97552e59","c1fb1d20-dc9a-4d7c-b372-01f2ea49b32a","Number of the specimen","16",NA,NA
"06737c3cf7be94ee085d916ac988680c","c2954040-4df4-4382-8fdf-31629d564b90","Number of the specimen","17",NA,NA
"0692a1ff734a9fbc22daff308ed587ea","9ec08e08-1b64-46a8-9e8a-30302a52e686","Number of the specimen","6",NA,NA
"069a4fe3fdac039409153f580a49f94a","63005517-8768-4147-b57d-606a3ed64bb6","Length of the specimen","150","millimeter",NA
"06d7b4c599d71697ea310fc20de4a269","7c3bddf7-6bb8-4105-abe8-7f308c468440","Live weight as measured in the field","8","gram",NA
"0705e5b56bb61660357639cb63f890ae","4e455e8a-7eb7-4091-9cd2-6be0912f3aa4","Length of the specimen","25","millimeter",NA
"07092436fe6ded163382617689c46cca","093f94b2-1602-4ad9-9b82-5c9782ef2bf4","Number of the specimen","6",NA,NA
"072dd7edfc1f265859116566955fa361","24dd695d-db9d-4024-9c08-c9261c00e9e8","Length of the specimen","162","millimeter",NA
"074607f15287af0657dafcb1b836be9e","9018f921-61c1-45c7-bb7c-5b05d964d2cb","Live weight as measured in the field","21","gram",NA
"07881c7ec70e4ed6e19de1dca86a836b","fe1f428f-9b2f-4fc5-9fd5-f8c0b0ce0ddc","Live weight as measured in the field","20","gram",NA
"079800b83f4440b5a74663fbf25483da","a213b180-8ce6-44cc-8049-a9f0673a8f43","Number of the specimen","52",NA,NA
"07bed3ede06d1bfa9f460e8c0b61980e","00d2603e-6bc7-4853-9900-6ef30da228bb","Number of the specimen","25",NA,NA
"07cd61278324e278ca44977bfce854aa","6efcb4b4-f8b3-4bae-80ea-4fe1000378cc","Live weight as measured in the field","17","gram",NA
"07ed88a4f322fcb0d5b2e13ddd48fead","2ba4b8a7-b48b-4a9c-844f-580de7a5d47a","Number of the specimen","19",NA,NA
"080c129607acd59b2e7a9496ce8f7982","3930922d-6a72-4206-819f-444dc2d36be9","Length of the specimen","93","millimeter",NA
"080f83a69de80383597019ecb5fd348c","0121eb6e-ec34-4dd0-83e7-c6fc3c4149cc","Length of the specimen","80","millimeter",NA
"088ced3ae3594113ae0be74e06a83234","2a32fa55-726f-439a-971e-2f1fa851b622","Number of the specimen","40",NA,NA
"089d5c25ef23edd896c6af55fe45c6a5","441db6de-a6d1-4da1-879a-131f7827724b","Length of the specimen","81","millimeter",NA
"08b2d73e828daee7d1e48ea9ac8dc611","d4abba4d-d16e-49ed-84fb-a8176e5ee101","Number of the specimen","12",NA,NA
"08c9ce40b5758092a9f7612bd23b1248","da85580e-303e-4df6-95c3-03e3375bb741","Length of the specimen","134","millimeter",NA
"08e1df98e8734579ed3e98e8f3b7a000","6a4512f9-a1ce-4121-a7b9-d44072cfd4f9","Number of the specimen","29",NA,NA
"08e45fc3315ab71dbe1ed2f485a8859d",NA,"Duty cycle at the start of data collection for the second electrofisher","20","percent","BIGC.20190423.04.2.e-fisher"
"08e55410ac27c82672e71f984aadfdd5","0f3fb4f0-45a6-41d6-9d8f-b711bc9f11f3","Number of the specimen","47",NA,NA
"08e6e56b7a709f49fc0e3088801fa2fc","5f519f7d-b5a8-428d-90f8-91662bba93d8","Live weight as measured in the field","4","gram",NA
"08eedb26c46a8f22dd88fb990e489ac0","11ce178c-711a-452c-a212-48f92d5daf83","Number of the specimen","1",NA,NA
"0917f3adc7eada54203744d398f8b9b2","e23f210d-c957-4d98-9c01-7ecc0fd0a072","Live weight as measured in the field","20","gram",NA
"091d674cccea77c91c7fb2875efe51e2","5256b27a-c751-4c55-b390-58cce3e98751","Live weight as measured in the field","16","gram",NA
"091e439dfa7728d55504abd1c0e4c8f2",NA,"Voltage at the start of data collection for the second electrofisher","150","volt","BIGC.20191021.01.1.e-fisher"
"094b39593811b9b822e162980d326bb5",NA,"Voltage at the end of data collection for the second electrofisher","30","hertz","BIGC.20190424.05.1.e-fisher"
"094b39593811b9b822e162980d326bb5",NA,"Voltage at the end of data collection for the second electrofisher","300","volt","BIGC.20190424.05.1.e-fisher"
"09859f2d3b535d1c8bd122cdd026bc5b","1a1db9fe-4b27-4995-aa50-15f210580d5c","Length of the specimen","187","millimeter",NA
"09a934bbaf479e9f56adb79835e5eec9","e6334baf-67d9-4ddc-813b-1d90bdc056d0","Length of the specimen","114","millimeter",NA
"0a00110b0a74b36cf679bc0f73a79fb0","0d16b24a-8d29-4bc7-a871-6c0228590552","Number of the specimen","11",NA,NA
"0a1c1d92edddf5a4b25b3143974444dd","e209c6d9-f6ba-49fc-855e-cb1a3795f2f6","Number of the specimen","27",NA,NA
"0a1f7e919cdf6d29ec482dddeaea3844","92b63168-3b09-475d-8513-e0dca0a835df","Length of the specimen","34","millimeter",NA
"0a29d47e74fe13ead4d7ad907e1bbdf7",NA,"Frequency at the start of data collection for the second electrofisher","30","hertz","BIGC.20190424.05.1.e-fisher"
"0a5e1c4ff2d9fb12cba762cbe60ce47b","01236d07-b824-490a-ab3d-44ce351e237b","Length of the specimen","113","millimeter",NA
"0a6d1f202f81f3536cf064cf4978cfa6","2ac4622f-01f2-427c-bc56-f4946f2d94c8","Length of the specimen","130","millimeter",NA
"0a997e4074062e840604083cfb385ff1","3cf4b5d5-62db-4d92-9c94-a0edecccda05","Live weight as measured in the field","23","gram",NA
"0aa23b423458f6e6aa55da3f91cbb889","08adc40a-78ea-4cab-8d6b-f7a5d53e83c0","Number of the specimen","9",NA,NA
"0af2b0b008ddd7df9693b2156d3c17d2","c4eb481b-197d-4b7f-8275-76d6aab9fdc1","Length of the specimen","221","millimeter",NA
"0b1e5a02ec7a4bf2b90511ae775d3dd2","391e9660-f7ef-4cab-8d11-ed3210094fe5","Live weight as measured in the field","5","gram",NA
"0b206e59499cce103b660e0fcdb9772a","7a5ef2dd-64c5-4ddc-888d-158763487cd6","Length of the specimen","103","millimeter",NA
"0b213ff2d715ff1b0c497b365e28583e","28799933-d035-4344-8497-4366ef3eab6d","Length of the specimen","76","millimeter",NA
"0b221bf39c70ea790888028886aec5f7","d49aa2e3-ad56-444c-b5eb-792ec5580561","Number of the specimen","36",NA,NA
"0b38b628396fafbdf18c2bc1c09bc70f","e23f210d-c957-4d98-9c01-7ecc0fd0a072","Length of the specimen","124","millimeter",NA
"0b3db645a49e6a8d4ab9886b4c9fb6b2","1df71af5-7893-426a-b0e6-a5a3404b7b36","Length of the specimen","30","millimeter",NA
"0b4f2be29147ed3ca49633f54661bb06","93f1f93a-9e74-4d36-9c65-90f71dcf3c84","Number of the specimen","29",NA,NA
"0b5c5e0ce7c3b3978b398ee50de76a12",NA,"Frequency at the start of data collection for the second electrofisher","30","hertz","BIGC.20190422.01.3.e-fisher"
"0b81b13ff5c9beb52e743e9a8507bf1e","5f2508a6-6fa6-4122-a772-71726cdddc0c","Length of the specimen","152","millimeter",NA
"0b83cca2cc418e5686a405ab1c74eb4c","b4cd83a2-28df-4f0d-99ad-9695cbac7eac","Length of the specimen","127","millimeter",NA
"0b86c7e3006cf98525744466f151ca14",NA,"Operational time of the electrofisher for the second electrofisher","3915","second","BIGC.20190425.09.1.e-fisher"
"0b970549928ec9701f40c421b462cd9b","964b21de-67c2-45f4-80a5-3fe5cd4f7b89","Number of the specimen","2",NA,NA
"0b9ec59502f177e8696f5f98533a5be9","18bd6024-5853-45c2-9c5d-a40679a7996e","Live weight as measured in the field","8","gram",NA
"0ba5fd9334c2953e4179c272bcdcbf97","8c9a5e11-f155-4920-b5d5-77f5df304ea5","Number of the specimen","10",NA,NA
"0bb5d7dbb21756c8d478a25c24de7e60","63470ae6-9179-485a-af0f-674eec47b46d","Length of the specimen","137","millimeter",NA
"0bb8d3d0af4be2133d8d9180e580e852","dd213de9-8849-437a-ac73-9b9faea4d4dd","Live weight as measured in the field","5","gram",NA
"0bbc98ad1564afb317c5de5684ad06fb","85d5bac7-6d58-458e-beee-224e97923035","Length of the specimen","103","millimeter",NA
"0bf8fb058e2b56f5b0dc9cb1cf5dfbdd","cd6411b7-ec88-42cf-93ad-9449c0e8b99c","Number of the specimen","16",NA,NA
"0c0e015b71df8df94866fe6fd67c4ccf","cb75d1ba-f02a-4aa3-b8b9-78ae15a7f3af","Live weight as measured in the field","8","gram",NA
"0c2587001e37eff0385ff5d71652f4e0","2805459b-3aa2-4e27-87d7-23abd0fd2c32","Length of the specimen","128","millimeter",NA
"0c542a6929108a74dcc7eedc085a7686","fdf426f1-40db-4253-931a-e03eaaadef54","Live weight as measured in the field","67","gram",NA
"0c581c1c58fb797dd9ca748ed5089064","f7790ef1-06b0-49e5-abcc-4b9654db490d","Length of the specimen","224","millimeter",NA
"0c6411d8f851b8fc8e540265dcdbd80d",NA,"Voltage at the end of data collection for the second electrofisher","30","hertz","BIGC.20190425.09.1.e-fisher"
"0c6411d8f851b8fc8e540265dcdbd80d",NA,"Voltage at the end of data collection for the second electrofisher","300","volt","BIGC.20190425.09.1.e-fisher"
"0c7a5545a8ee6974bf45fec05d448b01","2751c1b1-4048-4e2d-a54c-ca27fe2cf61f","Live weight as measured in the field","0.3","gram",NA
"0c89045e7498c49d0bd7dae5539b8e02","946dd145-9e0b-4466-aa3f-1441806a2323","Length of the specimen","77","millimeter",NA
"0cc58c61038b0e7a95de805b585076e6","d2a0df38-ade5-413c-98ed-678484b2e92b","Live weight as measured in the field","18","gram",NA
"0cf8d84e109783eaf9c481097b13b7a5","0121eb6e-ec34-4dd0-83e7-c6fc3c4149cc","Number of the specimen","53",NA,NA
"0d0344f0005296314a1c059d900cf9fe","7d571efc-4961-44cc-a0a3-bb6aa6072dda","Live weight as measured in the field","6","gram",NA
"0d4d9ca3fae5bced3f605f1980d2c1ab","485ecec8-bec3-4fa4-90d7-837ec460de3c","Live weight as measured in the field","6","gram",NA
"0d55291ab42d59643d7d8491b8a300fd","5c8a11de-5270-4e2d-b02d-656d8041e2a8","Number of the specimen","17",NA,NA
"0d76e732693189c1635aa1f75a7aee19","677e7a56-4c2b-4e13-81d9-8f6d75df8fbd","Number of the specimen","43",NA,NA
"0d77211b3cd1061302a343948ee8a0e4","f861ae28-e1a5-473b-ba7b-88740dc62a1d","Live weight as measured in the field","23","gram",NA
"0db8c37cfc6253350e4bc3c366b24647",NA,"Frequency at the start of data collection for the second electrofisher","30","hertz","BIGC.20191022.04.3.e-fisher"
"0dd7369a5679cae4cd184153ac723f66","3da6b127-1b9e-4969-9c2d-868e03c10d2b","Length of the specimen","97","millimeter",NA
"0dfa24f81320ec5af283c36259123808","3b7eeec5-afa2-4874-a393-de16d50f3065","Length of the specimen","117","millimeter",NA
"0e13805f4abc28271588f17a870eb42e","9fb4ad1a-4001-4a42-8800-c5d059491549","Length of the specimen","122","millimeter",NA
"0e3825958b57d163946032d13b75ee0c",NA,"Number of the sampling pass within a reach","2",NA,"BIGC.20190424.07.2.e-fisher"
"0e3ce049ec7fe644bd8c1f293e447949","2ba4b8a7-b48b-4a9c-844f-580de7a5d47a","Live weight as measured in the field","90","gram",NA
"0e51ba1714eda6bbea66adac12862ac8","5337636f-7c96-40fe-b857-9a4e5ac8c681","Length of the specimen","76","millimeter",NA
"0e57b5f217a7c628c082e655859016f7","5d8d3312-8131-4baa-ac07-3fd9e5ce31c3","Live weight as measured in the field","3","gram",NA
"0e6d9ab595e193f9489dc60cb57bb0c5","f04d2b24-32c2-492b-83c0-1539bb4161fc","Live weight as measured in the field","27","gram",NA
"0e740199bf2079c48d2be1ea9ee5b0c8","8a4f7827-a9f2-4695-8791-ee613df8babe","Live weight as measured in the field","13","gram",NA
"0e8ad11afcd4547a844c642438f5b0e8","1f55d040-caf9-420d-8efd-8473eff2a736","Number of the specimen","1",NA,NA
"0e9c11a2790e977c26601e634e9ffb4d","b4cd83a2-28df-4f0d-99ad-9695cbac7eac","Live weight as measured in the field","18","gram",NA
"0ea1faae18ddf2ae68af9ecd24721646","7c3bddf7-6bb8-4105-abe8-7f308c468440","Length of the specimen","97","millimeter",NA
"0ebb7e3709b12265a5237a792db76262","d01e19c4-486a-4010-807e-4d3432acc88a","Live weight as measured in the field","24","gram",NA
"0eee658adc1a23bf718d3b0faf47fc2e","0b77a648-6cf7-4fa8-9ece-ee28a2b17ca6","Length of the specimen","26","millimeter",NA
"0f3bac797d53a9ab829d88d7b55c45ae","e7737f08-436c-4a23-8411-808cec8669c5","Length of the specimen","213","millimeter",NA
"0f4e1e326b59dde4f9874b5af91fd0ca","62f76887-6388-438e-b36a-3db006eef1c2","Live weight as measured in the field","58","gram",NA
"0fbad24165638ec3b573d327612216a6","9a3ec8c9-da26-46d8-89ae-f0af01c39fa7","Number of the specimen","19",NA,NA
"10031d9e4c260969494cc2f031460c80",NA,"Voltage at the start of data collection for the second electrofisher","300","volt","BIGC.20190422.01.2.e-fisher"
"10175a01d95785c9b2249da342c8f32d","f4a8b69d-de69-4cd3-add4-5499f73e9acd","Length of the specimen","141","millimeter",NA
"103e644e1b506c6ba15bbf8c593a27d5","bdbc4df9-d458-4241-bce0-cc1b1bc8b976","Length of the specimen","134","millimeter",NA
"105232cf762ee41a7ea303050f8b8262","0638c380-9ce9-4e72-9471-0a3548b13bbf","Live weight as measured in the field","39","gram",NA
"107880d82ad88288637423941379de06","fc7627f3-dd0d-48bd-a2a4-a30f4be49c08","Live weight as measured in the field","12","gram",NA
"109298a607ff6f9c317117d32c0cb3cc","22cda7c6-7a20-4410-9892-6aed8a7bd182","Number of the specimen","7",NA,NA
"10a793f736dd902cd84c33c8610f98f0","8dde8850-db64-4b47-aba4-2b671b04fd5b","Number of the specimen","6",NA,NA
"1104f6b40556ad258b2bafe87024f346","c53eac90-a840-474b-b79a-3ea8d22e915c","Live weight as measured in the field","30","gram",NA
"1118aabc861bfdd45dab126ae582c7bf","8ad34c21-218e-40ef-b870-603f553e90cc","Live weight as measured in the field","12","gram",NA
"11190cb9ca75b2ec3f3f7fd446aadc39",NA,"Voltage at the start of data collection for the second electrofisher","150","volt","BIGC.20191021.01.2.e-fisher"
"1128609e22cfe6e6546edf60d6035142","62f76887-6388-438e-b36a-3db006eef1c2","Number of the specimen","32",NA,NA
"11610079b2d0143f781977082a800821","b9cf56df-328f-4d25-a407-05b8cacbd190","Length of the specimen","96","millimeter",NA
"120b0a6bff71d29df954ec3511674713","9dfb1017-c260-47e8-b5f6-2a24a7e9c49a","Number of the specimen","6",NA,NA
"1234c7107911ab59d68ccdcd15cbe218","248ce982-1a3f-4770-86ae-9c2393af02c5","Number of the specimen","8",NA,NA
"124190337db24ad7736cb95d04d6f9ea","f371dcf9-7466-4af2-81ef-20ce48b71db5","Number of the specimen","16",NA,NA
"128a761744259e1610af081500159b76","570a8947-e173-4b00-aef8-052d3b8d9839","Length of the specimen","146","millimeter",NA
"12a5767a564049ad3259e2ba4639447d","83c0259a-76b4-4141-afa4-6b0f58142e9e","Live weight as measured in the field","5","gram",NA
"12b6870dcba1c9fb69214f2862f32384","46c5b4a9-5029-4e2d-a59e-fe2a4cbb68d1","Number of the specimen","5",NA,NA
"12ce0bb6880487b8465aa8b0255924fa","ea29c7bd-d8d0-4af4-b853-3b354567c171","Length of the specimen","204","millimeter",NA
"12df787791d02c02318481c20283e16f","241fa988-9749-4ec1-8485-33659c4b4b59","Live weight as measured in the field","92","gram",NA
"12e9cb87210f5222048f84ec8a09d71b","76f83b0e-662d-4e9b-9f1a-1f3da2ff81dd","Live weight as measured in the field","16","gram",NA
"12ea6d3991920f0e5077148fe65f7476","76f83b0e-662d-4e9b-9f1a-1f3da2ff81dd","Number of the specimen","10",NA,NA
"12f1468d5ae9dbe428350eedd55f6f77","e6d2eb28-1695-4c4f-839d-252e63c7b19c","Live weight as measured in the field","24","gram",NA
"1391bd5706c35c6ef1b3fd113fff5437","e1bff0fd-753e-420b-bbdd-3c1df92d1778","Number of the specimen","51",NA,NA
"139d53eb5435b766ad1aeb0b59744b5b","882a2a29-2ff3-4dae-a57e-594317228273","Length of the specimen","114","millimeter",NA
"13a1c8fe4cc9c038d4a68294e933d97d","944d4482-0293-4a4b-97ad-0430fe57496a","Number of the specimen","5",NA,NA
"13a8151bb10b354f930e321fdad1d4b5","5c0cdc13-d0b9-43aa-b6d9-571b93bf69bf","Live weight as measured in the field","119","gram",NA
"145495e0f9be12c9901cf7e9608ff88a","7052b8c4-30c6-4dc7-bd9d-32d6491026ae","Number of the specimen","8",NA,NA
"147b48524337fe30f2da2e4aecc5ed5e","e1189dae-6955-4ca2-8e64-5d267177c947","Number of the specimen","13",NA,NA
"14c883921a1f12b8de560a446528d4ec","57755cc5-18c0-4ff6-954d-4eceda0f7eb0","Length of the specimen","240","millimeter",NA
"14df9afe42cd0a78c7a5ed9792ccac19","9e3ded51-e603-40fe-a545-45d46263c6d3","Length of the specimen","109","millimeter",NA
"14f7222dff65cec79ee7c7dd82cb3175","57755cc5-18c0-4ff6-954d-4eceda0f7eb0","Number of the specimen","2",NA,NA
"1565c53a14214b5f54f378f7d5455c8c","3d428b81-3262-4858-873e-325e4c9666c8","Number of the specimen","3",NA,NA
"156c5a7c3f7efeb6814d46875826e436",NA,"Duty cycle at the start of data collection for the second electrofisher","15","percent","BIGC.20190422.01.2.e-fisher"
"156e7823c42de5f5bd3f1c50d4d8117a",NA,"Conductivity auto-corrected to 25 degrees C","157","microsiemensPerCentimeter","BIGC.20191021.01.2.e-fisher"
"157107202d16ac2f20de242bfd63aa8a","aa9673ce-f816-4f69-92aa-0a9178fd9c8c","Length of the specimen","103","millimeter",NA
"15727ca4d33defbacd55af371ffc7777","0c5f5b7e-86a4-4e00-9478-20f5e5086934","Live weight as measured in the field","98","gram",NA
"1578ea181583b4a4fa3f544028ebd395","454882a8-c920-4539-b206-daf1600d0984","Number of the specimen","39",NA,NA
"15b5ba6fe3b8be5cf29b684f34252b25","ecf08f4e-97fc-4dac-ac76-c279cd1fb812","Length of the specimen","96","millimeter",NA
"15b7cb297182e42702aa22b0a537d631","5f99647a-7a86-4b56-8b13-5b17b095906e","Live weight as measured in the field","4","gram",NA
"15c1cccd49f25bf890795f53c40c9d89","501382f0-f474-427d-a8cb-b160b8edc5d4","Number of the specimen","26",NA,NA
"15c4819f57bd4d96ec9074bd65802a35","de7e6881-973f-4a4f-90f5-7c59f377f097","Length of the specimen","133","millimeter",NA
"15c7adeb85b6eba7fac1a50436f47680",NA,"Frequency at the start of data collection for the second electrofisher","30","hertz","BIGC.20191023.05.1.e-fisher"
"1603cf607c1d3f05821fb9585abb7c56","b282db5a-29b0-49f2-87c9-a37724f0f3a3","Live weight as measured in the field","26","gram",NA
"1630de24bb6472d368076e464622e108","9b7318bd-fafd-44d0-993f-ed1c596d9189","Length of the specimen","67","millimeter",NA
"163a77df95465552268e8d96c1beed0e","6a13cf78-b0f1-4901-822b-31aa19aa6c01","Length of the specimen","72","millimeter",NA
"163dfb7836df792822c975ec1d95884b","eba9a2ce-b0e8-417c-8667-e712ca3a7a85","Number of the specimen","17",NA,NA
"164bfb8c9cd15f42b2548c18e1da5351","a6b366a9-f2d6-438d-b946-2abe0a057e86","Number of the specimen","1",NA,NA
"1680550a864105cc6f9e10fc75328008","8ff8bcf0-c9d1-4e30-8ac9-f4e7a2330390","Number of the specimen","45",NA,NA
"168d624989c479e925cab6a67ff69df7","38f835d5-d7c6-464d-a610-231b5549aaf1","Live weight as measured in the field","4","gram",NA
"168f435a0f3b2a22fe9a1e9e8d2f4ba3","85c3dde8-0a18-4186-8d53-5bf255dfa7d6","Length of the specimen","151","millimeter",NA
"16add5aee2a21c9e6c52fe376e4c5688","e946205f-edc0-4e8d-a65f-75fde65c372c","Length of the specimen","89","millimeter",NA
"16bc74f26e243d9ec678e4c9dbea1fb1","d75bd81f-bba3-4100-b123-c8980425e42d","Number of the specimen","11",NA,NA
"16c7eca997cc6465e3fcf5ccfdb18d20","5b14010b-7097-483c-9f69-cc0efc0c6eb9","Length of the specimen","88","millimeter",NA
"16d2b62023d0c2721882edabc5701f68","ff4b4492-2e57-48d5-b941-33ada4863939","Length of the specimen","228","millimeter",NA
"16e926297ee4eb1e2bd53201877c09d0","9fb4ad1a-4001-4a42-8800-c5d059491549","Live weight as measured in the field","17","gram",NA
"16f00fc39714ac110416cb3b48247c48",NA,"Conductivity auto-corrected to 25 degrees C","79.8","microsiemensPerCentimeter","BIGC.20190424.07.1.e-fisher"
"1702aaf3a71227e47fbac3b18b5fa0d9","976f0635-ac22-4fb8-9c5b-e05a5f6d9fae","Live weight as measured in the field","18","gram",NA
"1737a5f18ba0c16c5bd25dfab0f886cc","5075ccc0-7070-428b-a73b-3e1b405999a3","Length of the specimen","98","millimeter",NA
"1790b3b1bac378293981f3b623ddf920",NA,"Voltage at the end of data collection for the second electrofisher","200","volt","BIGC.20191023.05.1.e-fisher"
"1790b3b1bac378293981f3b623ddf920",NA,"Voltage at the end of data collection for the second electrofisher","30","hertz","BIGC.20191023.05.1.e-fisher"
"17af922265c491bd4fb2edc7a0bd092b","570a8947-e173-4b00-aef8-052d3b8d9839","Live weight as measured in the field","29","gram",NA
"17b7954216be17d96a1522488cd4f30e","6dfedd09-5882-45b9-9e75-05efa5c6237d","Number of the specimen","22",NA,NA
"17bf82ec380630129382a346f076e055","b2f88573-a992-4815-b099-c307f8f1754d","Number of the specimen","51",NA,NA
"17f0b03a2677ac1cf2d8540638406fb2","c0052de7-55b4-42af-ab18-5469dbc6a25e","Live weight as measured in the field","15","gram",NA
